"Stock #","Vehicle Year","Vehicle Make","Vehicle Model","Vehicle VIN","Mileage","Vehicle Color","Total Cost","Purchase Date","Image","Link"
"10746","2005","FORD","TAURUS","1FAFP53225A124388",191826,"SILVER",1495,02/09/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10752","2009","HYUNDAI","ACCENT","KMHCN46CX9U340460",243591,"BLUE",298,02/15/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10753","2003","DODGE","CARAVAN","1D4GP25343B218575",215267,"SILVER",935,02/15/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10760","2000","TOYOTA","ECHO","JTDAT1239Y0058824",174780,"SILVER",662,02/21/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10767","2006","KIA","SPECTRA","KNAFE121665208545",214802,"BLACK",1405,03/01/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10786","2007","PONTIAC","G5","1G2AL15FX77160228",221700,"WHITE",525,03/27/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10792","2005","ACURA","TSX","JH4CL96925C033567",205750,"SILVER",1420,03/29/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10794","2001","PONTIAC","AZTEK","3G7DA03E41S511466",150781,"RED",1525,04/04/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10795","1996","FORD","RANGER","1FTCR10A3TUA03103",118206,"GREEN",967,04/04/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10796","2004","DODGE","RAM 1500","1D7HA16D54J168139",274816,"BLACK",1929,04/04/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10803","2006","CHEVROLET","TRAILBLAZER","1GNET16S166118759",184834,"RED",663,04/17/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10809","2010","HONDA","ACCORD","5KBCP3F82AB004126",203514,"WHITE",2535,04/26/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10811","2003","FORD","EXPLORER","1FMZU62K73ZB52561",377772,"GRAY",835,05/02/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10812","1999","LINCOLN","TOWN CAR","1LNHM82W3XY657776",193418,"BLUE",1445,05/02/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10813","2010","HONDA","INSIGHT","JHMZE2H73AS001671",189711,"SILVER",2255,05/02/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10816","2008","CHEVROLET","TRAILBLAZER","1GNDT13S482146811",176338,"RED",1855,05/09/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10817","2016","DODGE","GRAND CARAVAN","2C4RDGBG0GR170437",168695,"BLUE",3395,05/09/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10818","2004","GMC","ENVOY XUV","1GKET12PX46166448",203968,"WHITE",1345,05/09/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10819","2010","CHEVROLET","MALIBU","1G1ZC5EB3A4120352",140450,"BLUE",1955,05/10/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
"10820","2012","NISSAN","ALTIMA","1N4AL2AP2CC206593",154802,"GRAY",2785,05/10/24,"https://i.ibb.co/ZLMbKgm/car.jpg","https://www.facebook.com/cherokeeautosales/posts/943040964499633"
